groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
wombats,2,2,0,1,5
wombats,1,1,0,2,4
wombats,0,0,0,31,0
wombats,0,1,0,4,1
wombats,0,0,0,3,4
wombats,3,2,2,0,3
wombats,0,0,0,1,6
wombats,0,0,3,1,2
wombats,0,0,1,30,0
wombats,4,2,1,0,4
wombats,1,1,1,1,4
wombats,0,0,0,2,5
wombats,0,0,3,3,1
wombats,0,0,1,1,5
wombats,1,1,2,0,4
wombats,1,1,0,0,6
wombats,1,0,0,3,3
wombats,4,0,0,2,4
wombats,0,0,2,1,3
wombats,2,2,1,0,5
wombats,0,0,1,4,1
wombats,0,0,0,4,2
wombats,0,0,0,5,1
wombats,1,0,0,30,0
wombats,0,0,2,0,5
wombats,4,1,0,1,4
wombats,0,0,0,0,7
wombats,0,0,3,0,3
wombats,0,0,1,2,3
wombats,3,0,1,1,4
wombats,0,0,2,2,2
wombats,0,0,1,0,6
